,product,uf,volume,year_month,unit,created_at
115,ÓLEO DIESEL (OUTROS ) (m3),MARANHÃO,0.0,2013-01-01,m3,2021-11-19 10:40:49
116,ÓLEO DIESEL (OUTROS ) (m3),PIAUÍ,0.0,2013-01-01,m3,2021-11-19 10:40:49
117,ÓLEO DIESEL (OUTROS ) (m3),CEARÁ,0.0,2013-01-01,m3,2021-11-19 10:40:49
118,ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO NORTE,0.0,2013-01-01,m3,2021-11-19 10:40:49
119,ÓLEO DIESEL (OUTROS ) (m3),PARAÍBA,0.0,2013-01-01,m3,2021-11-19 10:40:49
120,ÓLEO DIESEL (OUTROS ) (m3),PERNAMBUCO,0.0,2013-01-01,m3,2021-11-19 10:40:49
121,ÓLEO DIESEL (OUTROS ) (m3),ALAGOAS,0.0,2013-01-01,m3,2021-11-19 10:40:49
122,ÓLEO DIESEL (OUTROS ) (m3),SERGIPE,0.0,2013-01-01,m3,2021-11-19 10:40:49
123,ÓLEO DIESEL (OUTROS ) (m3),BAHIA,0.0,2013-01-01,m3,2021-11-19 10:40:49
124,ÓLEO DIESEL (OUTROS ) (m3),MINAS GERAIS,2.491,2013-01-01,m3,2021-11-19 10:40:49
125,ÓLEO DIESEL (OUTROS ) (m3),ESPÍRITO SANTO,0.0,2013-01-01,m3,2021-11-19 10:40:49
126,ÓLEO DIESEL (OUTROS ) (m3),RIO DE JANEIRO,893.606,2013-01-01,m3,2021-11-19 10:40:49
127,ÓLEO DIESEL (OUTROS ) (m3),SÃO PAULO,1691.852,2013-01-01,m3,2021-11-19 10:40:49
128,ÓLEO DIESEL (OUTROS ) (m3),PARANÁ,89.777,2013-01-01,m3,2021-11-19 10:40:49
129,ÓLEO DIESEL (OUTROS ) (m3),SANTA CATARINA,20.0,2013-01-01,m3,2021-11-19 10:40:49
130,ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO SUL,3933.312,2013-01-01,m3,2021-11-19 10:40:49
131,ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO DO SUL,30.0,2013-01-01,m3,2021-11-19 10:40:49
132,ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO,0.0,2013-01-01,m3,2021-11-19 10:40:49
133,ÓLEO DIESEL (OUTROS ) (m3),GOIÁS,0.0,2013-01-01,m3,2021-11-19 10:40:49
134,ÓLEO DIESEL (OUTROS ) (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3,2021-11-19 10:40:49
135,ÓLEO DIESEL S-10 (m3),RONDÔNIA,12517.9,2014-01-01,m3,2021-11-19 10:40:49
136,ÓLEO DIESEL S-10 (m3),ACRE,2253.0,2014-01-01,m3,2021-11-19 10:40:49
137,ÓLEO DIESEL S-10 (m3),AMAZONAS,7952.262,2014-01-01,m3,2021-11-19 10:40:49
138,ÓLEO DIESEL S-10 (m3),RORAIMA,1856.6,2014-01-01,m3,2021-11-19 10:40:49
139,ÓLEO DIESEL S-10 (m3),PARÁ,46813.45,2014-01-01,m3,2021-11-19 10:40:49
140,ÓLEO DIESEL S-10 (m3),AMAPÁ,891.0,2014-01-01,m3,2021-11-19 10:40:49
141,ÓLEO DIESEL S-10 (m3),TOCANTINS,15295.6,2014-01-01,m3,2021-11-19 10:40:49
142,ÓLEO DIESEL S-10 (m3),MARANHÃO,20226.5,2014-01-01,m3,2021-11-19 10:40:49
143,ÓLEO DIESEL S-10 (m3),PIAUÍ,167251.68,2014-01-01,m3,2021-11-19 10:40:49
144,ÓLEO DIESEL S-10 (m3),CEARÁ,61558.161,2014-01-01,m3,2021-11-19 10:40:49
145,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO NORTE,8367.0,2014-01-01,m3,2021-11-19 10:40:49
146,ÓLEO DIESEL S-10 (m3),PARAÍBA,13239.87,2014-01-01,m3,2021-11-19 10:40:49
147,ÓLEO DIESEL S-10 (m3),PERNAMBUCO,68334.0,2014-01-01,m3,2021-11-19 10:40:49
148,ÓLEO DIESEL S-10 (m3),ALAGOAS,9001.5,2014-01-01,m3,2021-11-19 10:40:49
149,ÓLEO DIESEL S-10 (m3),SERGIPE,10641.5,2014-01-01,m3,2021-11-19 10:40:49
150,ÓLEO DIESEL S-10 (m3),BAHIA,62844.116,2014-01-01,m3,2021-11-19 10:40:49
